;mean;amin;amax;median;std;var
10444;1.0;1.0;1.0;1.0;0.0;0.0
10464;1.0;1.0;1.0;1.0;0.0;0.0
10552;1.0;1.0;1.0;1.0;0.0;0.0
10572;1.0;1.0;1.0;1.0;0.0;0.0
10584;1.0;1.0;1.0;1.0;0.0;0.0
10812;1.0;1.0;1.0;1.0;0.0;0.0
11000;1.0;1.0;1.0;1.0;0.0;0.0
11020;1.0;1.0;1.0;1.0;0.0;0.0
11036;1.0;1.0;1.0;1.0;0.0;0.0
11200;1.0;1.0;1.0;1.0;0.0;0.0
11248;1.0;1.0;1.0;1.0;0.0;0.0
11272;1.0;1.0;1.0;1.0;0.0;0.0
11336;1.0;1.0;1.0;1.0;0.0;0.0
11456;1.0;1.0;1.0;1.0;0.0;0.0
11508;1.0;1.0;1.0;1.0;0.0;0.0
11532;1.0;1.0;1.0;1.0;0.0;0.0
11576;1.0;1.0;1.0;1.0;0.0;0.0
11608;1.0;1.0;1.0;1.0;0.0;0.0
11648;1.0;1.0;1.0;1.0;0.0;0.0
11680;1.0;1.0;1.0;1.0;0.0;0.0
11712;1.0;1.0;1.0;1.0;0.0;0.0
11728;1.0;1.0;1.0;1.0;0.0;0.0
11748;1.0;1.0;1.0;1.0;0.0;0.0
11828;1.0;1.0;1.0;1.0;0.0;0.0
11968;1.0;1.0;1.0;1.0;0.0;0.0
12032;1.0;1.0;1.0;1.0;0.0;0.0
12148;1.0;1.0;1.0;1.0;0.0;0.0
12160;1.0;1.0;1.0;1.0;0.0;0.0
12288;1.0;1.0;1.0;1.0;0.0;0.0
12348;1.0;1.0;1.0;1.0;0.0;0.0
12380;1.0;1.0;1.0;1.0;0.0;0.0
12400;1.0;1.0;1.0;1.0;0.0;0.0
12420;1.0;1.0;1.0;1.0;0.0;0.0
12460;1.0;1.0;1.0;1.0;0.0;0.0
12564;1.0;1.0;1.0;1.0;0.0;0.0
12576;1.0;1.0;1.0;1.0;0.0;0.0
12616;1.0;1.0;1.0;1.0;0.0;0.0
12668;1.0;1.0;1.0;1.0;0.0;0.0
12688;1.0;1.0;1.0;1.0;0.0;0.0
12744;1.0;1.0;1.0;1.0;0.0;0.0
12772;1.0;1.0;1.0;1.0;0.0;0.0
12940;1.0;1.0;1.0;1.0;0.0;0.0
12964;1.0;1.0;1.0;1.0;0.0;0.0
13000;1.0;1.0;1.0;1.0;0.0;0.0
13044;1.0;1.0;1.0;1.0;0.0;0.0
13084;1.0;1.0;1.0;1.0;0.0;0.0
13140;1.0;1.0;1.0;1.0;0.0;0.0
13196;1.0;1.0;1.0;1.0;0.0;0.0
13288;1.0;1.0;1.0;1.0;0.0;0.0
13372;1.0;1.0;1.0;1.0;0.0;0.0
13408;0.0;0.0;0.0;0.0;0.0;0.0
13440;1.0;1.0;1.0;1.0;0.0;0.0
13456;1.0;1.0;1.0;1.0;0.0;0.0
13516;1.0;1.0;1.0;1.0;0.0;0.0
13772;1.0;1.0;1.0;1.0;0.0;0.0
13948;1.0;1.0;1.0;1.0;0.0;0.0
13952;1.0;1.0;1.0;1.0;0.0;0.0
14048;1.0;1.0;1.0;1.0;0.0;0.0
14096;1.0;1.0;1.0;1.0;0.0;0.0
14172;1.0;1.0;1.0;1.0;0.0;0.0
14240;1.0;1.0;1.0;1.0;0.0;0.0
14288;1.0;1.0;1.0;1.0;0.0;0.0
14316;1.0;1.0;1.0;1.0;0.0;0.0
14448;1.0;1.0;1.0;1.0;0.0;0.0
14456;1.0;1.0;1.0;1.0;0.0;0.0
14512;1.0;1.0;1.0;1.0;0.0;0.0
14560;1.0;1.0;1.0;1.0;0.0;0.0
14632;1.0;1.0;1.0;1.0;0.0;0.0
14648;1.0;1.0;1.0;1.0;0.0;0.0
14688;1.0;1.0;1.0;1.0;0.0;0.0
14724;1.0;1.0;1.0;1.0;0.0;0.0
14760;1.0;1.0;1.0;1.0;0.0;0.0
14768;1.0;1.0;1.0;1.0;0.0;0.0
14780;1.0;1.0;1.0;1.0;0.0;0.0
14788;1.0;1.0;1.0;1.0;0.0;0.0
14824;1.0;1.0;1.0;1.0;0.0;0.0
14892;1.0;1.0;1.0;1.0;0.0;0.0
14944;1.0;1.0;1.0;1.0;0.0;0.0
15100;1.0;1.0;1.0;1.0;0.0;0.0
15160;1.0;1.0;1.0;1.0;0.0;0.0
15268;1.0;1.0;1.0;1.0;0.0;0.0
15352;1.0;1.0;1.0;1.0;0.0;0.0
15476;1.0;1.0;1.0;1.0;0.0;0.0
15560;1.0;1.0;1.0;1.0;0.0;0.0
15688;1.0;1.0;1.0;1.0;0.0;0.0
15724;1.0;1.0;1.0;1.0;0.0;0.0
15856;1.0;1.0;1.0;1.0;0.0;0.0
15892;1.0;1.0;1.0;1.0;0.0;0.0
15940;1.0;1.0;1.0;1.0;0.0;0.0
15968;1.0;1.0;1.0;1.0;0.0;0.0
16080;1.0;1.0;1.0;1.0;0.0;0.0
16192;1.0;1.0;1.0;1.0;0.0;0.0
16332;1.0;1.0;1.0;1.0;0.0;0.0
16340;1.0;1.0;1.0;1.0;0.0;0.0
16536;1.0;1.0;1.0;1.0;0.0;0.0
16552;1.0;1.0;1.0;1.0;0.0;0.0
16612;1.0;1.0;1.0;1.0;0.0;0.0
16644;1.0;1.0;1.0;1.0;0.0;0.0
16828;1.0;1.0;1.0;1.0;0.0;0.0
16840;1.0;1.0;1.0;1.0;0.0;0.0
16880;1.0;1.0;1.0;1.0;0.0;0.0
16900;1.0;1.0;1.0;1.0;0.0;0.0
16920;1.0;1.0;1.0;1.0;0.0;0.0
16948;1.0;1.0;1.0;1.0;0.0;0.0
16968;1.0;1.0;1.0;1.0;0.0;0.0
17040;1.0;1.0;1.0;1.0;0.0;0.0
17072;1.0;1.0;1.0;1.0;0.0;0.0
17108;1.0;1.0;1.0;1.0;0.0;0.0
17140;1.0;1.0;1.0;1.0;0.0;0.0
17240;1.0;1.0;1.0;1.0;0.0;0.0
17424;1.0;1.0;1.0;1.0;0.0;0.0
17432;1.0;1.0;1.0;1.0;0.0;0.0
17476;1.0;1.0;1.0;1.0;0.0;0.0
17504;1.0;1.0;1.0;1.0;0.0;0.0
17516;1.0;1.0;1.0;1.0;0.0;0.0
17564;1.0;1.0;1.0;1.0;0.0;0.0
17588;1.0;1.0;1.0;1.0;0.0;0.0
17600;1.0;1.0;1.0;1.0;0.0;0.0
17608;1.0;1.0;1.0;1.0;0.0;0.0
17688;1.0;1.0;1.0;1.0;0.0;0.0
17772;1.0;1.0;1.0;1.0;0.0;0.0
17844;1.0;1.0;1.0;1.0;0.0;0.0
17860;1.0;1.0;1.0;1.0;0.0;0.0
17992;1.0;1.0;1.0;1.0;0.0;0.0
18020;1.0;1.0;1.0;1.0;0.0;0.0
18076;1.0;1.0;1.0;1.0;0.0;0.0
18112;1.0;1.0;1.0;1.0;0.0;0.0
18128;1.0;1.0;1.0;1.0;0.0;0.0
18132;1.0;1.0;1.0;1.0;0.0;0.0
18136;1.0;1.0;1.0;1.0;0.0;0.0
18192;1.0;1.0;1.0;1.0;0.0;0.0
18204;1.0;1.0;1.0;1.0;0.0;0.0
18228;1.0;1.0;1.0;1.0;0.0;0.0
18332;1.0;1.0;1.0;1.0;0.0;0.0
18360;1.0;1.0;1.0;1.0;0.0;0.0
18464;1.0;1.0;1.0;1.0;0.0;0.0
18492;1.0;1.0;1.0;1.0;0.0;0.0
18508;1.0;1.0;1.0;1.0;0.0;0.0
18512;1.0;1.0;1.0;1.0;0.0;0.0
18668;1.0;1.0;1.0;1.0;0.0;0.0
18704;1.0;1.0;1.0;1.0;0.0;0.0
18860;1.0;1.0;1.0;1.0;0.0;0.0
18888;1.0;1.0;1.0;1.0;0.0;0.0
18932;1.0;1.0;1.0;1.0;0.0;0.0
18988;1.0;1.0;1.0;1.0;0.0;0.0
19016;1.0;1.0;1.0;1.0;0.0;0.0
19032;1.0;1.0;1.0;1.0;0.0;0.0
19036;1.0;1.0;1.0;1.0;0.0;0.0
19112;1.0;1.0;1.0;1.0;0.0;0.0
19116;1.0;1.0;1.0;1.0;0.0;0.0
19156;1.0;1.0;1.0;1.0;0.0;0.0
19208;1.0;1.0;1.0;1.0;0.0;0.0
19240;1.0;1.0;1.0;1.0;0.0;0.0
19284;1.0;1.0;1.0;1.0;0.0;0.0
19292;1.0;1.0;1.0;1.0;0.0;0.0
19316;1.0;1.0;1.0;1.0;0.0;0.0
19348;1.0;1.0;1.0;1.0;0.0;0.0
19408;1.0;1.0;1.0;1.0;0.0;0.0
19436;1.0;1.0;1.0;1.0;0.0;0.0
19448;1.0;1.0;1.0;1.0;0.0;0.0
19488;1.0;1.0;1.0;1.0;0.0;0.0
19496;1.0;1.0;1.0;1.0;0.0;0.0
19500;1.0;1.0;1.0;1.0;0.0;0.0
19528;1.0;1.0;1.0;1.0;0.0;0.0
19564;1.0;1.0;1.0;1.0;0.0;0.0
19596;1.0;1.0;1.0;1.0;0.0;0.0
19612;1.0;1.0;1.0;1.0;0.0;0.0
19664;1.0;1.0;1.0;1.0;0.0;0.0
