;mean;amin;amax;median;std;var
480;0.0;0.0;0.0;0.0;0.0;0.0
640;0.0;0.0;0.0;0.0;0.0;0.0
880;1.0;1.0;1.0;1.0;0.0;0.0
896;0.0;0.0;0.0;0.0;0.0;0.0
1036;0.0;0.0;0.0;0.0;0.0;0.0
1040;0.0;0.0;0.0;0.0;0.0;0.0
1136;0.0;0.0;0.0;0.0;0.0;0.0
1180;1.0;1.0;1.0;1.0;0.0;0.0
1308;0.0;0.0;0.0;0.0;0.0;0.0
1352;0.0;0.0;0.0;0.0;0.0;0.0
1420;0.0;0.0;0.0;0.0;0.0;0.0
1548;0.0;0.0;0.0;0.0;0.0;0.0
1676;0.0;0.0;0.0;0.0;0.0;0.0
1864;0.0;0.0;0.0;0.0;0.0;0.0
1916;0.0;0.0;0.0;0.0;0.0;0.0
1976;1.0;1.0;1.0;1.0;0.0;0.0
2092;0.0;0.0;0.0;0.0;0.0;0.0
2140;0.0;0.0;0.0;0.0;0.0;0.0
2220;0.0;0.0;0.0;0.0;0.0;0.0
2292;1.0;1.0;1.0;1.0;0.0;0.0
2380;0.0;0.0;0.0;0.0;0.0;0.0
2584;0.0;0.0;0.0;0.0;0.0;0.0
2620;0.0;0.0;0.0;0.0;0.0;0.0
2640;0.0;0.0;0.0;0.0;0.0;0.0
2720;0.0;0.0;0.0;0.0;0.0;0.0
2884;0.0;0.0;0.0;0.0;0.0;0.0
3040;0.0;0.0;0.0;0.0;0.0;0.0
3200;0.0;0.0;0.0;0.0;0.0;0.0
3220;0.0;0.0;0.0;0.0;0.0;0.0
3264;1.0;1.0;1.0;1.0;0.0;0.0
3328;1.0;1.0;1.0;1.0;0.0;0.0
3384;0.0;0.0;0.0;0.0;0.0;0.0
3408;0.0;0.0;0.0;0.0;0.0;0.0
3480;1.0;1.0;1.0;1.0;0.0;0.0
3560;0.0;0.0;0.0;0.0;0.0;0.0
3624;0.0;0.0;0.0;0.0;0.0;0.0
3648;0.0;0.0;0.0;0.0;0.0;0.0
