;mean;amin;amax;median;std;var
248;1.0;1.0;1.0;1.0;0.0;0.0
280;1.0;1.0;1.0;1.0;0.0;0.0
492;0.0;0.0;0.0;0.0;0.0;0.0
520;0.0;0.0;0.0;0.0;0.0;0.0
680;0.0;0.0;0.0;0.0;0.0;0.0
700;1.0;1.0;1.0;1.0;0.0;0.0
820;1.0;1.0;1.0;1.0;0.0;0.0
880;0.0;0.0;0.0;0.0;0.0;0.0
1008;0.0;0.0;0.0;0.0;0.0;0.0
1056;1.0;1.0;1.0;1.0;0.0;0.0
1088;0.0;0.0;0.0;0.0;0.0;0.0
1216;0.0;0.0;0.0;0.0;0.0;0.0
1352;0.0;0.0;0.0;0.0;0.0;0.0
1524;1.0;1.0;1.0;1.0;0.0;0.0
1572;1.0;1.0;1.0;1.0;0.0;0.0
1620;0.0;0.0;0.0;0.0;0.0;0.0
1720;1.0;1.0;1.0;1.0;0.0;0.0
1780;1.0;1.0;1.0;1.0;0.0;0.0
1872;0.0;0.0;0.0;0.0;0.0;0.0
1992;0.0;0.0;0.0;0.0;0.0;0.0
2112;1.0;1.0;1.0;1.0;0.0;0.0
2352;0.0;0.0;0.0;0.0;0.0;0.0
2392;0.0;0.0;0.0;0.0;0.0;0.0
2420;0.0;0.0;0.0;0.0;0.0;0.0
2500;0.0;0.0;0.0;0.0;0.0;0.0
2672;0.0;0.0;0.0;0.0;0.0;0.0
2780;0.0;0.0;0.0;0.0;0.0;0.0
2940;1.0;1.0;1.0;1.0;0.0;0.0
2992;0.0;0.0;0.0;0.0;0.0;0.0
3020;0.0;0.0;0.0;0.0;0.0;0.0
3100;0.0;0.0;0.0;0.0;0.0;0.0
3152;0.0;0.0;0.0;0.0;0.0;0.0
3180;0.0;0.0;0.0;0.0;0.0;0.0
3276;0.0;0.0;0.0;0.0;0.0;0.0
3360;1.0;1.0;1.0;1.0;0.0;0.0
3420;1.0;1.0;1.0;1.0;0.0;0.0
3440;0.0;0.0;0.0;0.0;0.0;0.0
3556;0.0;0.0;0.0;0.0;0.0;0.0
3612;0.0;0.0;0.0;0.0;0.0;0.0
3716;0.0;0.0;0.0;0.0;0.0;0.0
3944;1.0;1.0;1.0;1.0;0.0;0.0
3988;1.0;1.0;1.0;1.0;0.0;0.0
4068;0.0;0.0;0.0;0.0;0.0;0.0
4244;1.0;1.0;1.0;1.0;0.0;0.0
4412;1.0;1.0;1.0;1.0;0.0;0.0
4420;0.0;0.0;0.0;0.0;0.0;0.0
4508;0.0;0.0;0.0;0.0;0.0;0.0
4572;0.0;0.0;0.0;0.0;0.0;0.0
4652;1.0;1.0;1.0;1.0;0.0;0.0
4668;0.0;0.0;0.0;0.0;0.0;0.0
4776;1.0;1.0;1.0;1.0;0.0;0.0
4936;0.0;0.0;0.0;0.0;0.0;0.0
5152;1.0;1.0;1.0;1.0;0.0;0.0
5232;1.0;1.0;1.0;1.0;0.0;0.0
5280;1.0;1.0;1.0;1.0;0.0;0.0
