;mean;amin;amax;median;std;var
240;0.0;0.0;0.0;0.0;0.0;0.0
480;0.0;0.0;0.0;0.0;0.0;0.0
560;0.0;0.0;0.0;0.0;0.0;0.0
620;1.0;1.0;1.0;1.0;0.0;0.0
640;0.0;0.0;0.0;0.0;0.0;0.0
796;0.0;0.0;0.0;0.0;0.0;0.0
800;0.0;0.0;0.0;0.0;0.0;0.0
828;1.0;1.0;1.0;1.0;0.0;0.0
940;0.0;0.0;0.0;0.0;0.0;0.0
960;0.0;0.0;0.0;0.0;0.0;0.0
976;0.0;0.0;0.0;0.0;0.0;0.0
1120;0.0;0.0;0.0;0.0;0.0;0.0
1136;0.0;0.0;0.0;0.0;0.0;0.0
1180;1.0;1.0;1.0;1.0;0.0;0.0
1260;0.0;0.0;0.0;0.0;0.0;0.0
1440;0.0;0.0;0.0;0.0;0.0;0.0
1520;0.0;0.0;0.0;0.0;0.0;0.0
1600;0.0;0.0;0.0;0.0;0.0;0.0
1720;1.0;1.0;1.0;1.0;0.0;0.0
1736;0.0;0.0;0.0;0.0;0.0;0.0
1760;0.0;0.0;0.0;0.0;0.0;0.0
1816;0.0;0.0;0.0;0.0;0.0;0.0
1840;0.0;0.0;0.0;0.0;0.0;0.0
1920;0.0;0.0;0.0;0.0;0.0;0.0
1976;0.0;0.0;0.0;0.0;0.0;0.0
2040;0.0;0.0;0.0;0.0;0.0;0.0
2044;0.0;0.0;0.0;0.0;0.0;0.0
2056;0.0;0.0;0.0;0.0;0.0;0.0
2084;0.0;0.0;0.0;0.0;0.0;0.0
2136;0.0;0.0;0.0;0.0;0.0;0.0
2284;0.0;0.0;0.0;0.0;0.0;0.0
2364;0.0;0.0;0.0;0.0;0.0;0.0
2376;0.0;0.0;0.0;0.0;0.0;0.0
2420;1.0;1.0;1.0;1.0;0.0;0.0
2444;0.0;0.0;0.0;0.0;0.0;0.0
2484;0.0;0.0;0.0;0.0;0.0;0.0
2524;0.0;0.0;0.0;0.0;0.0;0.0
2580;0.0;0.0;0.0;0.0;0.0;0.0
2616;0.0;0.0;0.0;0.0;0.0;0.0
2644;0.0;0.0;0.0;0.0;0.0;0.0
2660;0.0;0.0;0.0;0.0;0.0;0.0
2724;0.0;0.0;0.0;0.0;0.0;0.0
2740;1.0;1.0;1.0;1.0;0.0;0.0
2764;0.0;0.0;0.0;0.0;0.0;0.0
2820;0.0;0.0;0.0;0.0;0.0;0.0
2844;0.0;0.0;0.0;0.0;0.0;0.0
2900;0.0;0.0;0.0;0.0;0.0;0.0
2924;0.0;0.0;0.0;0.0;0.0;0.0
3044;0.0;0.0;0.0;0.0;0.0;0.0
3164;0.0;0.0;0.0;0.0;0.0;0.0
3220;0.0;0.0;0.0;0.0;0.0;0.0
3244;0.0;0.0;0.0;0.0;0.0;0.0
3284;0.0;0.0;0.0;0.0;0.0;0.0
3300;0.0;0.0;0.0;0.0;0.0;0.0
3364;0.0;0.0;0.0;0.0;0.0;0.0
3404;0.0;0.0;0.0;0.0;0.0;0.0
3424;0.0;0.0;0.0;0.0;0.0;0.0
