;mean;amin;amax;median;std;var
12892;0.0;0.0;0.0;0.0;0.0;0.0
12964;0.0;0.0;0.0;0.0;0.0;0.0
13120;1.0;1.0;1.0;1.0;0.0;0.0
13148;0.0;0.0;0.0;0.0;0.0;0.0
13188;1.0;1.0;1.0;1.0;0.0;0.0
13596;0.0;0.0;0.0;0.0;0.0;0.0
13884;1.0;1.0;1.0;1.0;0.0;0.0
13912;0.0;0.0;0.0;0.0;0.0;0.0
13924;0.0;0.0;0.0;0.0;0.0;0.0
14296;0.0;0.0;0.0;0.0;0.0;0.0
14384;1.0;1.0;1.0;1.0;0.0;0.0
14404;1.0;1.0;1.0;1.0;0.0;0.0
14496;1.0;1.0;1.0;1.0;0.0;0.0
14696;0.0;0.0;0.0;0.0;0.0;0.0
14764;1.0;1.0;1.0;1.0;0.0;0.0
14824;0.0;0.0;0.0;0.0;0.0;0.0
14924;0.0;0.0;0.0;0.0;0.0;0.0
14984;0.0;0.0;0.0;0.0;0.0;0.0
15048;1.0;1.0;1.0;1.0;0.0;0.0
15132;0.0;0.0;0.0;0.0;0.0;0.0
15184;0.0;0.0;0.0;0.0;0.0;0.0
15188;0.0;0.0;0.0;0.0;0.0;0.0
15240;1.0;1.0;1.0;1.0;0.0;0.0
15400;0.0;0.0;0.0;0.0;0.0;0.0
15716;0.0;0.0;0.0;0.0;0.0;0.0
15812;0.0;0.0;0.0;0.0;0.0;0.0
15928;1.0;1.0;1.0;1.0;0.0;0.0
15984;1.0;1.0;1.0;1.0;0.0;0.0
16192;0.0;0.0;0.0;0.0;0.0;0.0
16272;0.0;0.0;0.0;0.0;0.0;0.0
16352;1.0;1.0;1.0;1.0;0.0;0.0
16392;1.0;1.0;1.0;1.0;0.0;0.0
16416;1.0;1.0;1.0;1.0;0.0;0.0
16480;1.0;1.0;1.0;1.0;0.0;0.0
16596;0.0;0.0;0.0;0.0;0.0;0.0
16628;1.0;1.0;1.0;1.0;0.0;0.0
16648;1.0;1.0;1.0;1.0;0.0;0.0
16692;1.0;1.0;1.0;1.0;0.0;0.0
16760;1.0;1.0;1.0;1.0;0.0;0.0
16796;0.0;0.0;0.0;0.0;0.0;0.0
16860;1.0;1.0;1.0;1.0;0.0;0.0
16868;1.0;1.0;1.0;1.0;0.0;0.0
17044;1.0;1.0;1.0;1.0;0.0;0.0
17068;1.0;1.0;1.0;1.0;0.0;0.0
17092;1.0;1.0;1.0;1.0;0.0;0.0
17152;1.0;1.0;1.0;1.0;0.0;0.0
17216;1.0;1.0;1.0;1.0;0.0;0.0
17300;1.0;1.0;1.0;1.0;0.0;0.0
17376;1.0;1.0;1.0;1.0;0.0;0.0
17472;1.0;1.0;1.0;1.0;0.0;0.0
