;mean;amin;amax;median;std;var
248;1.0;1.0;1.0;1.0;0.0;0.0
280;1.0;1.0;1.0;1.0;0.0;0.0
492;0.0;0.0;0.0;0.0;0.0;0.0
520;0.0;0.0;0.0;0.0;0.0;0.0
680;0.0;0.0;0.0;0.0;0.0;0.0
700;1.0;1.0;1.0;1.0;0.0;0.0
820;1.0;1.0;1.0;1.0;0.0;0.0
880;0.0;0.0;0.0;0.0;0.0;0.0
1060;0.0;0.0;0.0;0.0;0.0;0.0
1088;0.0;0.0;0.0;0.0;0.0;0.0
1160;0.0;0.0;0.0;0.0;0.0;0.0
1336;0.0;0.0;0.0;0.0;0.0;0.0
1488;0.0;0.0;0.0;0.0;0.0;0.0
1700;0.0;0.0;0.0;0.0;0.0;0.0
1736;1.0;1.0;1.0;1.0;0.0;0.0
1816;0.0;0.0;0.0;0.0;0.0;0.0
1940;0.0;0.0;0.0;0.0;0.0;0.0
1996;0.0;0.0;0.0;0.0;0.0;0.0
2076;0.0;0.0;0.0;0.0;0.0;0.0
2156;0.0;0.0;0.0;0.0;0.0;0.0
2260;0.0;0.0;0.0;0.0;0.0;0.0
2444;0.0;0.0;0.0;0.0;0.0;0.0
2500;0.0;0.0;0.0;0.0;0.0;0.0
2516;0.0;0.0;0.0;0.0;0.0;0.0
2596;0.0;0.0;0.0;0.0;0.0;0.0
2768;0.0;0.0;0.0;0.0;0.0;0.0
2916;1.0;1.0;1.0;1.0;0.0;0.0
3088;0.0;0.0;0.0;0.0;0.0;0.0
3156;0.0;0.0;0.0;0.0;0.0;0.0
3220;0.0;0.0;0.0;0.0;0.0;0.0
3308;0.0;0.0;0.0;0.0;0.0;0.0
3360;1.0;1.0;1.0;1.0;0.0;0.0
3388;0.0;0.0;0.0;0.0;0.0;0.0
3476;0.0;0.0;0.0;0.0;0.0;0.0
3556;0.0;0.0;0.0;0.0;0.0;0.0
3636;0.0;0.0;0.0;0.0;0.0;0.0
3648;0.0;0.0;0.0;0.0;0.0;0.0
3796;0.0;0.0;0.0;0.0;0.0;0.0
3876;0.0;0.0;0.0;0.0;0.0;0.0
3948;1.0;1.0;1.0;1.0;0.0;0.0
4188;0.0;0.0;0.0;0.0;0.0;0.0
4224;0.0;0.0;0.0;0.0;0.0;0.0
4300;1.0;1.0;1.0;1.0;0.0;0.0
4448;1.0;1.0;1.0;1.0;0.0;0.0
4624;0.0;0.0;0.0;0.0;0.0;0.0
4684;1.0;1.0;1.0;1.0;0.0;0.0
4764;0.0;0.0;0.0;0.0;0.0;0.0
4780;0.0;0.0;0.0;0.0;0.0;0.0
4860;0.0;0.0;0.0;0.0;0.0;0.0
4932;0.0;0.0;0.0;0.0;0.0;0.0
5048;0.0;0.0;0.0;0.0;0.0;0.0
5260;0.0;0.0;0.0;0.0;0.0;0.0
5760;1.0;1.0;1.0;1.0;0.0;0.0
5900;0.0;0.0;0.0;0.0;0.0;0.0
5980;0.0;0.0;0.0;0.0;0.0;0.0
